Customer ID,Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status
0310-SUCIN,Female,50,Yes,0,Darwin,93522,36.319181,-117.593053,2,71,None,Yes,23.06,No,Yes,Cable,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,84.8,6046.1,0,0,1637.26,7683.36,Stayed
0310-VQXAM,Male,56,No,0,San Bernardino,92404,34.183286,-117.221722,0,9,None,Yes,40.74,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Month-to-Month,No,Credit Card,19.85,178.8,0,0,366.66,545.46,Stayed
0311-QYWSS,Female,63,No,0,Garberville,95542,40.057784,-123.679461,0,6,None,Yes,39.16,No,Yes,DSL,8,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.45,314.6,0,0,234.96,549.56,Stayed
0311-UNPFF,Female,58,No,0,Long Beach,90807,33.830099,-118.182239,0,26,None,Yes,38.09,No,Yes,Fiber Optic,22,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,88.8,2274.35,0,50,990.34,3314.69,Churned
0314-TKOSI,Female,29,No,0,Upland,91784,34.141146,-117.655583,0,6,Offer E,Yes,6.98,No,Yes,Cable,30,Yes,Yes,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,55.15,322.9,0,0,41.88,364.78,Stayed
0315-LVCRK,Male,54,No,0,El Dorado Hills,95762,38.684437,-121.055634,0,11,None,Yes,30.57,No,Yes,Fiber Optic,15,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,84.8,888.75,0,0,336.27,1225.02,Stayed
0318-QUUOB,Male,25,Yes,0,Santa Rosa,95403,38.488431,-122.752839,1,1,None,Yes,43.67,No,Yes,Fiber Optic,73,No,No,No,No,Yes,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,80.55,80.55,0,0,43.67,124.22,Churned
0318-ZOPWS,Female,31,Yes,0,Malibu,90265,34.074572,-118.831181,10,49,None,Yes,2.82,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Two Year,Yes,Bank Withdrawal,20.15,973.35,0,0,138.18,1111.53,Stayed
0319-QZTCO,Female,25,Yes,2,Santa Rosa,95401,38.460517,-122.790335,9,3,Offer E,Yes,11.47,No,Yes,DSL,51,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,58.7,168.6,0,0,34.41,203.01,Joined
0320-DWVTU,Female,46,No,0,Riverdale,93656,36.452211,-119.94575,0,53,Offer B,Yes,43.57,No,Yes,Fiber Optic,13,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Two Year,No,Credit Card,99.5,5424.25,0,0,2309.21,7733.46,Stayed
0320-JDNQG,Male,28,Yes,0,Oxnard,93035,34.18454,-119.224666,1,23,None,Yes,37.95,No,Yes,Fiber Optic,27,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.85,2331.3,0,0,872.85,3204.15,Churned
0322-CHQRU,Male,63,No,0,Palmdale,93591,34.598221,-117.79593,0,2,None,Yes,25.49,No,Yes,DSL,9,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,45.35,89.5,0,0,50.98,140.48,Churned
0322-YINQP,Male,37,No,0,Covina,91723,34.084747,-117.886844,0,1,None,Yes,11.35,No,Yes,DSL,9,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,48.55,48.55,0,0,11.35,59.9,Churned
0323-XWWTN,Male,44,No,1,San Lucas,93954,36.125529,-120.864443,0,3,None,Yes,33.87,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Two Year,Yes,Credit Card,26.4,121.25,0,0,101.61,222.86,Joined
0324-BRPCJ,Female,74,Yes,0,Palmdale,93591,34.598221,-117.79593,1,68,None,Yes,21.33,Yes,Yes,Cable,24,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.2,6851.65,0,0,1450.44,8302.09,Churned
0325-XBFAC,Male,44,No,0,Hoopa,95546,41.163637,-123.704841,0,8,None,Yes,19.49,No,Yes,Fiber Optic,10,No,No,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,94.7,740.3,0,80,155.92,976.22,Churned
0326-VDYXE,Female,21,Yes,0,Long Beach,90802,33.752524,-118.210737,9,70,Offer A,Yes,16.66,Yes,Yes,Fiber Optic,26,No,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,97.65,6982.5,0,80,1166.2,8228.7,Stayed
0327-WFZSY,Male,62,Yes,3,Samoa,95564,40.809636,-124.189977,9,39,Offer C,Yes,17.29,Yes,Yes,Fiber Optic,75,No,No,Yes,No,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,100,3835.55,0,0,674.31,4509.86,Stayed
0328-GRPMV,Female,43,No,0,Burnt Ranch,95527,40.854512,-123.450097,0,1,None,Yes,17.37,No,Yes,Fiber Optic,25,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.1,70.1,0,0,17.37,87.47,Churned
0329-GTIAJ,Female,40,No,0,Garden Grove,92844,33.766476,-117.969795,0,3,None,Yes,30.18,No,Yes,Fiber Optic,7,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,97.9,315.3,0,0,90.54,405.84,Churned
0330-BGYZE,Male,48,Yes,0,Milford,96121,40.181279,-120.392967,8,60,Offer B,Yes,19.22,Yes,Yes,Fiber Optic,4,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,102.5,6157.6,0,0,1153.2,7310.8,Stayed
0330-IVZHA,Female,55,Yes,0,Anderson,96007,40.448632,-122.306657,1,5,Offer E,Yes,17.08,No,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,69.95,330.15,0,0,85.4,415.55,Churned
0334-GDDSO,Male,77,No,0,San Diego,92122,32.85723,-117.209774,0,3,Offer E,Yes,9.22,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.35,233.7,0,0,27.66,261.36,Churned
0334-ZFJSR,Female,41,Yes,0,San Diego,92123,32.808814,-117.134694,0,55,None,Yes,35.38,Yes,Yes,Cable,13,Yes,Yes,No,Yes,No,No,No,No,One Year,Yes,Credit Card,66.05,3462.1,44.53,150,1945.9,5513.47,Stayed
0336-KXKFK,Male,43,No,0,Santa Margarita,93453,35.303926,-120.256567,0,72,None,No,N/A,N/A,Yes,DSL,6,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,61.2,4390.25,0,0,0,4390.25,Stayed
0336-PIKEI,Male,69,Yes,0,Orange,92869,33.792791,-117.789749,7,72,Offer A,Yes,5.27,No,Yes,DSL,9,Yes,Yes,Yes,Yes,Yes,No,No,No,Two Year,No,Bank Withdrawal,74.4,5360.75,0,140,379.44,5880.19,Stayed
0337-CNPZE,Female,63,No,0,Los Angeles,90033,34.050198,-118.210946,0,41,None,Yes,10.43,Yes,Yes,Fiber Optic,22,No,Yes,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,106.3,4443.45,0,130,427.63,5001.08,Churned
0343-QLUZP,Male,38,No,0,San Jose,95111,37.284265,-121.827673,0,60,Offer B,No,N/A,N/A,Yes,DSL,25,Yes,Yes,Yes,No,No,No,No,Yes,Two Year,No,Bank Withdrawal,39.6,2424.5,38.46,0,0,2386.04,Stayed
0345-HKJVM,Female,43,No,0,San Diego,92109,32.787836,-117.232376,0,6,None,Yes,2.6,No,Yes,Fiber Optic,22,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,89.3,577.6,0,0,15.6,593.2,Churned
0345-XMMUG,Female,29,Yes,0,Ione,95640,38.33788,-120.954202,6,46,None,Yes,2,Yes,Yes,Fiber Optic,48,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,108.9,4854.3,0,0,92,4946.3,Stayed
0347-UBKUZ,Female,46,No,0,San Mateo,94404,37.556094,-122.272437,0,15,None,Yes,2.74,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Month-to-Month,No,Mailed Check,19.9,320.45,0,0,41.1,361.55,Stayed
0348-SDKOL,Female,33,Yes,0,San Diego,92117,32.825086,-117.199424,1,58,None,Yes,3.51,Yes,Yes,Fiber Optic,28,No,No,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Credit Card,102.1,5885.4,0,100,203.58,6188.98,Churned
0354-VXMJC,Male,60,Yes,3,Los Angeles,90034,34.030578,-118.399613,10,23,None,Yes,34.04,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Two Year,No,Credit Card,19.6,426.65,0,0,782.92,1209.57,Stayed
0354-WYROK,Female,70,Yes,0,San Francisco,94130,37.820894,-122.369725,1,31,Offer C,Yes,47.95,No,Yes,Fiber Optic,21,No,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.9,2911.3,0,0,1486.45,4397.75,Churned
0356-ERHVT,Male,54,Yes,0,Santa Cruz,95062,36.974575,-121.991149,1,11,Offer D,Yes,12.95,No,Yes,Cable,6,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.9,521.9,0,0,142.45,664.35,Stayed
0356-OBMAC,Female,80,No,0,Winchester,92596,33.657433,-117.04254,0,56,None,Yes,17.33,Yes,Yes,Fiber Optic,16,No,Yes,Yes,Yes,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,99.9,5706.3,0,0,970.48,6676.78,Stayed
0357-NVCRI,Female,41,No,3,El Cajon,92021,32.832706,-116.873258,0,25,Offer C,Yes,12.87,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Month-to-Month,No,Credit Card,20.05,471.7,0,0,321.75,793.45,Stayed
0361-HJRDX,Female,38,No,0,Sherman Oaks,91403,34.147149,-118.463365,0,68,Offer A,No,N/A,N/A,Yes,DSL,28,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,No,Credit Card,-8,4539.6,0,130,0,4669.6,Stayed
0362-RAOQO,Female,48,No,0,Norco,92860,33.925833,-117.559639,0,40,None,Yes,26.03,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Two Year,No,Credit Card,19.65,830.25,0,0,1041.2,1871.45,Stayed
0362-ZBZWJ,Male,46,No,0,Thornton,95686,38.157794,-121.520223,0,36,None,Yes,24.66,Yes,Yes,Fiber Optic,22,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,84.9,3067.2,0,0,887.76,3954.96,Churned
0363-QJVFX,Male,22,No,0,Lake Hughes,93532,34.659579,-118.584212,0,32,Offer C,Yes,27.69,Yes,Yes,Fiber Optic,73,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,108.15,3432.9,0,0,886.08,4318.98,Churned
0363-SVHYR,Male,28,Yes,3,Paramount,90723,33.897122,-118.164432,10,71,Offer A,Yes,10.11,Yes,Yes,DSL,59,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,86.85,6263.8,0,0,717.81,6981.61,Stayed
0365-BZUWY,Male,58,Yes,0,San Juan Capistrano,92675,33.521447,-117.602555,2,17,Offer D,Yes,10.11,Yes,Yes,Fiber Optic,2,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,102.55,1742.5,0,0,171.87,1914.37,Stayed
0365-GXEZS,Male,55,Yes,0,Copperopolis,95228,37.943954,-120.67108,6,18,Offer D,Yes,31.79,No,Yes,Fiber Optic,19,No,No,Yes,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,78.2,1468.75,0,0,572.22,2040.97,Stayed
0365-TRTPY,Female,52,No,0,Covina,91724,34.08111,-117.853935,0,37,None,Yes,11.73,Yes,Yes,Fiber Optic,30,Yes,Yes,Yes,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,91.2,3382.3,0,0,434.01,3816.31,Stayed
0366-NQSHS,Male,42,No,0,Colusa,95932,39.273096,-122.050763,0,2,None,Yes,44.34,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Month-to-Month,No,Credit Card,19.35,46.35,0,0,88.68,135.03,Joined
0369-ZGOVK,Female,56,Yes,2,Cypress,90630,33.818477,-118.038307,6,28,Offer C,Yes,12.94,No,Yes,Fiber Optic,24,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,70.4,1992.2,0,0,362.32,2354.52,Stayed
0373-AIVNJ,Male,34,No,0,Sacramento,95814,38.584505,-121.491956,0,9,Offer E,No,N/A,N/A,Yes,Cable,19,Yes,Yes,Yes,No,No,No,No,Yes,One Year,No,Credit Card,39.55,373,0,0,0,373,Stayed
0374-AACSZ,Female,63,No,0,Lancaster,93534,34.727529,-118.153098,0,1,Offer E,Yes,38.33,No,Yes,DSL,24,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,50.15,50.15,0,50,38.33,138.48,Joined
0374-FIUCA,Male,59,Yes,0,Orange,92867,33.81859,-117.821288,1,65,None,Yes,23.46,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Two Year,Yes,Credit Card,20.4,1414.45,0,0,1524.9,2939.35,Stayed
0374-IOEGQ,Female,62,No,0,Gonzales,93926,36.52588,-121.396719,0,3,None,Yes,15.59,No,Yes,Cable,27,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,44.6,122.7,0,0,46.77,169.47,Joined
0375-HVGXO,Female,31,No,0,Los Angeles,90045,33.954017,-118.402447,0,1,Offer E,No,N/A,N/A,Yes,DSL,8,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,34.7,34.7,0,0,0,34.7,Churned
0376-OIWME,Male,24,Yes,0,San Ysidro,92173,32.555828,-117.040073,3,36,Offer C,Yes,41.33,No,Yes,Fiber Optic,41,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.6,3366.05,16.56,0,1487.88,4837.37,Stayed
0376-YMCJC,Male,21,No,0,Novato,94949,38.067204,-122.524004,0,23,None,Yes,38.69,Yes,Yes,Cable,69,No,No,No,Yes,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,90.6,1943.2,4.73,0,889.87,2828.34,Churned
0377-JBKKT,Male,21,Yes,3,Gilroy,95020,37.03889,-121.528955,9,22,Offer D,Yes,42.58,No,Yes,DSL,82,Yes,Yes,No,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Credit Card,57.95,1271.8,0,0,936.76,2208.56,Stayed
0378-CJKPV,Female,56,Yes,0,Oak Park,91377,34.19225,-118.776874,1,72,None,Yes,4.56,Yes,Yes,Fiber Optic,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,112.1,7965.95,18.88,0,328.32,8275.39,Stayed
0378-NHQXU,Female,31,Yes,0,South San Francisco,94080,37.654436,-122.426468,7,17,None,Yes,17.91,Yes,Yes,Fiber Optic,9,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,88.25,1460.65,0,0,304.47,1765.12,Churned
0378-TOVMS,Female,20,No,0,Vernalis,95385,37.609095,-121.263381,0,3,None,Yes,10.6,No,Yes,Fiber Optic,73,No,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,85.8,272.2,0,0,31.8,304,Churned
0378-XSZPU,Male,31,Yes,0,San Jose,95117,37.311088,-121.961786,1,58,Offer B,Yes,17.22,No,Yes,Cable,21,Yes,Yes,Yes,No,No,No,No,Yes,One Year,No,Credit Card,60.3,3563.8,0,0,998.76,4562.56,Churned
0379-DJQHR,Male,60,Yes,0,Sunnyvale,94089,37.421633,-122.009613,1,67,None,Yes,45.25,No,Yes,DSL,18,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,81.35,5398.6,0,0,3031.75,8430.35,Stayed
0380-NEAVX,Male,72,No,0,Newport Beach,92660,33.634626,-117.874882,0,34,None,Yes,35,No,Yes,Fiber Optic,12,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,99.85,3343.15,0,0,1190,4533.15,Stayed
0380-ZCSBI,Male,56,No,0,San Francisco,94133,37.802071,-122.411004,0,10,None,Yes,4.42,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Month-to-Month,No,Credit Card,20,198.7,0,0,44.2,242.9,Stayed
0383-CLDDA,Female,42,No,0,Stanford,94305,37.424342,-122.165641,0,69,Offer A,Yes,18.47,Yes,Yes,DSL,28,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,85.35,5897.4,0,0,1274.43,7171.83,Stayed
0384-LPITE,Male,38,No,0,Los Angeles,90041,34.137412,-118.207607,0,40,None,No,N/A,N/A,Yes,Cable,19,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,62.05,2511.55,0,0,0,2511.55,Stayed
0384-RVBPI,Male,64,No,0,Turlock,95380,37.474396,-120.875917,0,20,Offer D,Yes,12.6,No,Yes,DSL,29,Yes,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,64.4,1398.6,0,0,252,1650.6,Stayed
0386-CWRGM,Female,61,Yes,1,Beverly Hills,90210,34.099891,-118.414338,9,46,None,Yes,47.5,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Two Year,No,Credit Card,19.4,967.85,0,0,2185,3152.85,Stayed
0388-EOPEX,Female,28,Yes,0,Riverside,92503,33.890046,-117.455583,1,2,None,Yes,9.79,No,Yes,Fiber Optic,41,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.4,139.4,0,0,19.58,158.98,Churned
0390-DCFDQ,Female,76,Yes,2,Los Alamitos,90720,33.79499,-118.065591,1,1,Offer E,Yes,15.28,No,Yes,Fiber Optic,30,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,70.45,70.45,0,0,15.28,85.73,Churned
0392-BZIUW,Female,44,Yes,0,Fresno,93710,36.822715,-119.761826,7,72,None,Yes,6.58,Yes,Yes,Fiber Optic,7,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,105,7589.8,0,0,473.76,8063.56,Stayed
0394-YONDK,Male,28,Yes,3,Escondido,92025,33.081478,-117.033814,0,70,None,Yes,1.22,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Two Year,No,Credit Card,25.15,1790.15,0,0,85.4,1875.55,Stayed
0396-HUJBP,Female,34,No,0,Gardena,90247,33.890853,-118.297967,0,2,None,Yes,49.91,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Month-to-Month,No,Credit Card,19.3,44.4,0,0,99.82,144.22,Joined
0396-UKGAI,Male,25,No,3,Encinitas,92024,33.054579,-117.25665,0,23,Offer D,Yes,1.58,No,Yes,DSL,47,No,Yes,No,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,55.3,1284.2,0,0,36.34,1320.54,Stayed
0396-YCHWO,Male,58,Yes,0,Sacramento,95829,38.486502,-121.334051,4,36,Offer C,Yes,40.58,Yes,Yes,Fiber Optic,12,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.4,3474.2,0,0,1460.88,4935.08,Stayed
0397-GZBBC,Male,70,Yes,0,South Dos Palos,93665,36.959731,-120.653519,0,59,None,Yes,10.78,Yes,Yes,Fiber Optic,15,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.85,5574.75,8.13,0,636.02,6202.64,Churned
0397-ZXWQF,Male,24,No,0,Orick,95555,41.336354,-124.044354,0,67,Offer A,Yes,47.31,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Two Year,No,Bank Withdrawal,20.5,1430.95,0,0,3169.77,4600.72,Stayed
0401-WDBXM,Male,22,Yes,3,San Jose,95118,37.255479,-121.889838,4,72,None,Yes,8.33,Yes,Yes,Fiber Optic,59,Yes,No,Yes,No,Yes,Yes,Yes,No,Two Year,Yes,Bank Withdrawal,105.55,7542.25,0,10,599.76,8152.01,Stayed
0402-CQAJN,Female,22,No,0,El Monte,91732,34.074492,-118.01462,0,37,None,Yes,24.04,Yes,Yes,Fiber Optic,59,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.9,3545.35,0,0,889.48,4434.83,Churned
0402-OAMEN,Female,36,Yes,1,Spreckels,93962,36.624641,-121.647195,4,72,Offer A,Yes,20.56,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Two Year,No,Bank Withdrawal,24.45,1709.1,0,0,1480.32,3189.42,Stayed
0404-AHASP,Male,23,Yes,0,Beverly Hills,90212,34.062095,-118.401508,10,72,Offer A,Yes,27.97,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Two Year,No,Credit Card,19.7,1421.9,0,0,2013.84,3435.74,Stayed
0404-SWRVG,Male,21,No,2,La Habra,90631,33.940619,-117.9513,0,3,Offer E,Yes,14.6,Yes,Yes,Fiber Optic,71,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,74.4,229.55,8.74,0,43.8,264.61,Churned
0406-BPDVR,Female,75,Yes,0,Visalia,93277,36.303793,-119.375646,0,54,Offer B,Yes,33.49,Yes,Yes,Fiber Optic,8,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,101.5,5373.1,0,0,1808.46,7181.56,Churned
0407-BDJKB,Male,59,Yes,0,San Francisco,94114,37.758085,-122.434801,1,60,None,Yes,35.22,Yes,Yes,Fiber Optic,16,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.75,5742.9,0,0,2113.2,7856.1,Churned
0409-WTMPL,Female,35,Yes,0,Whittier,90602,33.972119,-118.020188,8,58,Offer B,Yes,37.95,Yes,Yes,Fiber Optic,18,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,110.65,6526.65,0,0,2201.1,8727.75,Stayed
0410-IPFTY,Female,64,Yes,0,Long Beach,90822,33.778436,-118.118648,1,31,Offer C,Yes,12.03,No,Yes,Fiber Optic,9,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,83.85,2674.15,11.37,0,372.93,3035.71,Stayed
0411-EZJZE,Female,62,No,0,Stockton,95215,37.946282,-121.139499,0,3,None,Yes,20.1,Yes,Yes,DSL,29,No,No,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,60.25,170.5,0,70,60.3,300.8,Joined
0412-UCCNP,Male,20,No,0,Essex,92332,34.9436,-115.287901,0,55,None,Yes,12.28,No,Yes,DSL,48,Yes,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,59.2,3175.85,0,0,675.4,3851.25,Stayed
0415-MOSGF,Female,58,No,0,Los Gatos,95030,37.222842,-121.988727,0,1,Offer E,Yes,26.53,No,Yes,DSL,30,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,44.4,44.4,0,0,26.53,70.93,Churned
0419-YAAPX,Male,44,Yes,0,Grass Valley,95949,39.099204,-121.137962,1,49,Offer B,Yes,14.21,No,Yes,Fiber Optic,23,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,85.3,4297.95,0,0,696.29,4994.24,Stayed
0420-BWTPW,Male,40,No,0,San Diego,92117,32.825086,-117.199424,0,8,None,No,N/A,N/A,Yes,DSL,16,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,25.5,215.2,0,0,0,215.2,Churned
0420-HLGXF,Female,72,No,0,Visalia,93291,36.391777,-119.372842,0,39,None,Yes,10.03,Yes,Yes,Fiber Optic,13,No,No,Yes,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,99.75,4036,0,0,391.17,4427.17,Stayed
0420-TXVSG,Male,43,Yes,0,San Jose,95112,37.343827,-121.883119,9,66,Offer A,Yes,37.71,Yes,Yes,DSL,15,Yes,Yes,Yes,No,No,No,No,Yes,Two Year,Yes,Credit Card,66.1,4428.45,0,0,2488.86,6917.31,Stayed
0422-OHQHQ,Female,23,Yes,0,Fresno,93722,36.78979,-119.929894,7,15,None,Yes,34.63,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,One Year,No,Credit Card,20.55,295.95,0,0,519.45,815.4,Stayed
0422-UXFAP,Female,34,Yes,0,San Diego,92117,32.825086,-117.199424,1,51,Offer B,Yes,47.72,Yes,Yes,Fiber Optic,23,No,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,98.85,4947.55,0,130,2433.72,7511.27,Stayed
0423-UDIJQ,Male,74,No,0,Snelling,95369,37.521708,-120.426843,0,9,None,Yes,7.11,No,Yes,DSL,12,No,No,No,Yes,No,No,No,Yes,Two Year,No,Mailed Check,49.2,447.9,0,0,63.99,511.89,Stayed
0426-TIRNE,Female,54,No,0,Encino,91316,34.150354,-118.518292,0,1,Offer E,Yes,15.51,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Month-to-Month,No,Credit Card,20.9,20.9,0,0,15.51,36.41,Churned
0428-AXXLJ,Male,29,No,0,Bellflower,90706,33.887676,-118.127289,0,25,Offer C,Yes,3.58,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,One Year,Yes,Bank Withdrawal,19.5,516.3,0,0,89.5,605.8,Stayed
0428-IKYCP,Male,56,Yes,0,Sonora,95370,37.982716,-120.343732,9,22,None,Yes,48.68,No,Yes,Fiber Optic,18,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,87,1850.65,0,0,1070.96,2921.61,Stayed
0430-IHCDJ,Male,40,No,0,Highland,92346,34.129677,-117.154277,0,15,None,Yes,11.75,Yes,Yes,DSL,28,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49,749.25,0,0,176.25,925.5,Stayed
0431-APWVY,Female,37,Yes,0,Novato,94949,38.067204,-122.524004,1,28,None,Yes,18.31,No,Yes,Fiber Optic,13,No,No,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,90.1,2598.95,0,0,512.68,3111.63,Churned
